MLS#	Address	Neighbourhood	Latitude	Longitude	Price	Size(sqft)	Taxes	Age	DOM	Type	Bedrooms	Bathrooms	RealtorURL	ZoloURL	Date
30766739	28 Landsdown Drive, Guelph, Ontario 	-	43.517268	-80.203898	920150 	-	-	-	-	Single Family	5 + 1	4	https://www.realtor.ca/real-estate/21425014/5-1-bedroom-single-family-house-28-landsdown-drive-guelph	-	2019-12-30
30781820	160 WAVERLEY Drive, Guelph, Ontario 	10 - Victoria North	43.572999	-80.257054	509900 	No Data	No Data	1957	1 (Dec 30, 2019)	Single Family	3	2	https://www.realtor.ca/real-estate/21425007/3-bedroom-single-family-house-160-waverley-drive-guelph	https://www.zolo.ca/guelph-real-estate/160-waverley-drive	2019-12-30
30782740	83 -  1155 Gordon Street, Guelph, Ontario 	15 - Kortright West	43.520986	-80.211035	469800 	No Data	No Data	2006	1 (Dec 30, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21424913/3-bedroom-condo-83-1155-gordon-street-guelph	https://www.zolo.ca/guelph-real-estate/1155-gordon-street/83	2019-12-30
30782734	27 -  124 Gosling Gardens, Guelph, Ontario 	15 - Kortright West	43.499442	-80.192295	459800 	No Data	No Data	2004	1 (Dec 30, 2019)	Condo	4	3	https://www.realtor.ca/real-estate/21424898/4-bedroom-condo-27-124-gosling-gardens-guelph	https://www.zolo.ca/guelph-real-estate/124-gosling-gardens/27	2019-12-30
30775881	49 Wilsonview Avenue, Guelph, Ontario 	-	43.52159	-80.239814	444999 	1950 sqft	No Data	1972	2 (Dec 28, 2019)	Condo	4	3	https://www.realtor.ca/real-estate/21424220/4-bedroom-condo-49-wilsonview-avenue-guelph	https://www.zolo.ca/guelph-real-estate/49-wilsonview-avenue	2019-12-30
X4657496	31 SCHRODER CRES, Guelph, Ontario 	Grange Hill East	43.5580153	-80.2270515	430000 	1200-1399 sqft	$3,053 /yr	No Data	3 (Dec 27, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21423743/3-bedroom-condo-31-schroder-cres-guelph-grange-hill-east	https://www.zolo.ca/guelph-real-estate/31-schroder-crescent	2019-12-30
30775035	8 CLAIRFIELDS Drive W, Guelph, Ontario 	-	43.504127	-80.195083	799800 	No Data	No Data	2005	3 (Dec 27, 2019)	Single Family	5 + 2	4	https://www.realtor.ca/real-estate/21423336/5-2-bedroom-single-family-house-8-clairfields-drive-w-guelph	https://www.zolo.ca/guelph-real-estate/8-clairfields-drive-west	2019-12-30
30782554	26 -  35 Mountford Drive, Guelph, Ontario 	11 - Grange Road	43.564883	-80.233702	1700 	No Data	No Data	2011	6 (Dec 23, 2019)	Condo	2	1	https://www.realtor.ca/real-estate/21420919/2-bedroom-condo-26-35-mountford-drive-guelph	https://www.zolo.ca/guelph-real-estate/35-mountford-drive/26	2019-12-30
30782537	3 -  714 Willow Road, Guelph, Ontario 	-	43.527165	-80.297367	649900 	1863 sqft	No Data	2017	6 (Dec 23, 2019)	Condo	3	4	https://www.realtor.ca/real-estate/21420839/3-bedroom-condo-3-714-willow-road-guelph	https://www.zolo.ca/guelph-real-estate/714-willow-road/3	2019-12-30
X4656191	#401 -25 KAY CRES, Guelph, Ontario 	Guelph South	43.503857	-80.1829351	419900 	900-999 sqft	$3,050 /yr	No Data	10 (Dec 20, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21418200/2-bedroom-condo-401-25-kay-cres-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/25-kay-crescent/401	2019-12-30
H4069512	404 1291 GORDON Street, Guelph, Ontario 	-	43.513998	-80.200291	337900 	-	-	-	-	Condo	3	3	https://www.realtor.ca/real-estate/21417108/3-bedroom-condo-404-1291-gordon-street-guelph	-	2019-12-30
X4655941	#404 -1291 GORDON ST, Guelph, Ontario 	Guelph South	43.5139985	-80.2003211	337900 	900-999 sqft	$3,116 /yr	0-5 years	10 (Dec 19, 2019)	Condo	3	3	https://www.realtor.ca/real-estate/21417073/3-bedroom-condo-404-1291-gordon-st-guelph-guelph-south	https://www.zolo.ca/guelph-real-estate/1291-gordon-street/404	2019-12-30
30777414	206 -  7 Cityview Drive S, Guelph, Ontario 	11 - Grange Road	43.558628	-80.216488	368500 	1342 sqft	No Data	No Data	44 (Nov 16, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21325882/3-bedroom-condo-206-7-cityview-drive-s-guelph	https://www.zolo.ca/guelph-real-estate/7-cityview-drive-south/206	2019-12-30
30777231	14 SUMMERFIELD Drive, Guelph, Ontario 	-	43.518526	-80.191817	745000 	2003 sqft	No Data	2015	50 (Nov 9, 2019)	Single Family	3	4	https://www.realtor.ca/real-estate/21323998/3-bedroom-single-family-house-14-summerfield-drive-guelph	https://www.zolo.ca/guelph-real-estate/14-summerfield-drive	2019-12-30
X4628904	#5 -101 FREDERICK DR, Guelph, Ontario 	Pine Ridge	43.5153703	-80.1744409	459900 	1600-1799 sqft	$3,496 /yr	6-10 years	40 (Nov 19, 2019)	Condo	3	2	https://www.realtor.ca/real-estate/21318943/3-bedroom-condo-5-101-frederick-dr-guelph-clairfields	https://www.zolo.ca/guelph-real-estate/101-frederick-drive/5	2019-12-30
30776387	9 Hunt Street, Guelph, Ontario 	-	43.518212	-80.181154	669888 	1778 sqft	No Data	2006	52 (Nov 7, 2019)	Single Family	3	4	https://www.realtor.ca/real-estate/21317222/3-bedroom-single-family-house-9-hunt-street-guelph	https://www.zolo.ca/guelph-real-estate/9-hunt-street	2019-12-30
X4627697	18 WESTRA DR, Guelph, Ontario 	West Willow Woods	43.5231727	-80.3022678	749900 	No Data	$5,870 /yr	No Data	53 (Nov 6, 2019)	Single Family	2 + 2	4	https://www.realtor.ca/real-estate/21314717/2-2-bedroom-single-family-house-18-westra-dr-guelph-west-willow-woods	https://www.zolo.ca/guelph-real-estate/18-westra-drive	2019-12-30
30768741	702 -  55 YARMOUTH Street, Guelph, Ontario 	1 - Downtown	43.547283	-80.252504	349900 	No Data	No Data	1980	55 (Nov 5, 2019)	Condo	2	2	https://www.realtor.ca/real-estate/21306486/2-bedroom-condo-702-55-yarmouth-street-guelph	https://www.zolo.ca/guelph-real-estate/55-yarmouth-street/702	2019-12-30
30775999	115 DAWN Avenue, Guelph, Ontario 	-	43.507026	-80.200216	1799900 	-	-	-	-	Single Family	5 + 1	6	https://www.realtor.ca/real-estate/21301975/5-1-bedroom-single-family-house-115-dawn-avenue-guelph	-	2019-12-30
X4623871	601 WOOLWICH ST, Guelph, Ontario 	Exhibition Park	43.5576297	-80.2668693	570000 	1500-2000 sqft	$3,963 /yr	100 years	58 (Nov 1, 2019)	Single Family	5	3	https://www.realtor.ca/real-estate/21300656/5-bedroom-single-family-house-601-woolwich-st-guelph-exhibition-park	https://www.zolo.ca/guelph-real-estate/601-woolwich-street	2019-12-30
30775922	601 Woolwich Street, Guelph, Ontario 	-	43.557539	-80.26673	570000 	-	-	-	-	Single Family	3 + 2	3	https://www.realtor.ca/real-estate/21299625/3-2-bedroom-single-family-house-601-woolwich-street-guelph	-	2019-12-30
